#ordinal	x	y	z	name	classtag	bodies
135	-18928	-29680	-67336	BALASTRACKONASTREYA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
155	3652848	-4721750	-1527226	AMARILLA	4	5,6,15,18,20,21
162	3846064	-5800261	-1971425	BEAUTY JUNIOR	9	6
177	3377136	-4558630	-1790935	GLIMMER II	4	5,10,17,32,33,34,35,36,37,38,39,40,41,42,59
178	4177136	-4758332	-2550808	INFANTUS	9	1,3,10,22,38
182	3963568	-4820590	-3218725	BLAETH	11	1,2,3,4,5,6
184	3236432	-4900864	-3865708	FIRST-ZERO	0	1,2,3,4,5
185	2674288	-5035112	-3169307	DISAPPOINTMENT	0	1
186	1216080	-5223402	-3128874	MASSARAI	0	4
188	246064	-544425	1557082	MOTHER	4	1
211	1373200	-778257	2089632	BOUNTY	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
217	2355696	-920154	2032037	SPANIANA	0	1,2
219	2786768	-993580	1300493	UNSUITABLE	6	
220	4776048	-1351212	873306	BARREN	0	
222	4193552	-1728711	281299	FERTILIA	0	5
223	3129648	-4755058	-4219207	EMMA YA	6	
224	4181072	-4821938	-4274269	LIGHTNING	1	3
229	4348912	-3923012	-386959	PRODIGE	9	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
243	1962480	-818203	2606087	GOLIATH	4	1
293	3866416	-4813508	-735695	ROTOR IGNE	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
296	2952848	-4848045	-883575	ENGIROTORTES MAJOR	8	1,2,3,4
320	4142128	-4282625	-592209	FRISOFORA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
322	3121776	-4855657	-847391	BENNY MAJOR	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
361	3552848	-4533415	-1460079	ATANOR	6	
362	3383920	-4384937	-1358521	MUNICH	0	1,2,3,4,5
369	3252848	-4375194	-1151718	ANDRAMON	2	1,2,3
372	2521776	-5015370	-132554	COCA E RHUM	8	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
394	-56784	-15693	-129542	YLASTRAVENYA	0	1,2,3,4,5,6,7
441	174288	-44389	-688771	IDEAL	0	1
480	239280	-632515	1210717	GEMINI PRIMUS	8	1
507	4217840	-4251864	-191307	ATHLASSIA	2	1,2,3,4
511	3159632	-5861048	-488959	CANPHORA I	8	1,2
525	1701424	-5489661	-530841	LONELY GIANT	4	
526	3008208	-5683926	-1431904	BIG BROTHER	8	1,2,3,4,5,6,7,8,9,10,11
538	1970352	-5270044	-562318	UNTRUELY MULTIPLE	8	
539	2459632	-5106073	-5509	UPHRET ALPHA	8	1,2,3
543	4048912	-4271060	-89414	KONNRAD'S FIRE	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
545	4673200	-4422749	-1215685	QUENCH	6	
547	5179984	-4424194	-1495125	MONDAY	1	1,2,3
550	4755696	-4989030	-530150	LIGHTTOWER	11	1,2,3,4,5
557	4142128	-5182625	-629021	TRIUMVIRATE - CAESAR	8	1,2,3
560	4511056	-5078635	-871082	WITCH	10	1,2
564	4162480	-6132645	587893	RETREAT	0	1,2,3,4,5,6,7
565	4889616	-8798910	1335199	SHELL STATION	6	
566	3542128	-4319626	-23198	AZURE	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
577	3648912	-4732863	353992	TREASURY	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
588	3466416	-4409260	-647355	ACHATES	6	
591	3459632	-4362483	-1005168	LYON'S PRIDE	3	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,28,29,32,33,34,35,36,37
592	3552848	-4245109	-1290363	HYPNOS	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
609	2846064	-4721160	-1042736	ASTARIA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
614	3266416	-4234407	-205776	DESTINY	0	1,2,3,4,5,6,7,8
620	3828560	-4347754	-1069241	AARAU	1	1,3,6,11
622	22864	-5412632	-1498963	LENTIL	11	
623	-1021776	-5360925	-963062	SNOOKER BALL	10	
630	-1032496	-5288368	353369	TANGERINE	4	
633	-839280	-4633030	-282228	PEPPER SPEAR	0	1,2
637	3683920	-4221661	-1662156	ROGUE I	2	1
638	3608208	-4273476	-2115401	COLD STAR	8	1
640	3601424	-4345494	-2419251	BASSALEG	1	2
642	3087856	-4383737	-2767901	MILLENCOLIN	11	2
644	3835344	-4433056	-746195	TWO DAUGHTERS	0	1,2
647	156784	-84958	479267	DEPOT	6	
652	3014992	-4469307	-1109646	ZARSH	0	3,4,9,10
653	4073200	-4400279	-797583	TVIP	0	
655	3535344	-5122009	-387026	PALANDRIA	0	1,2,3,4,5,6,7
664	-1132496	-30467	201715	THALASK	0	3,5,6,22
674	3283920	-4372695	-1275337	OSSE	6	
675	-156784	-37190	-85076	SHTAMAN	0	1,2,3,4,5,6,7,8,9,10,11,21
691	3452848	-4418536	-1229104	DECONSTRUCTION	2	1,2,3
694	3352848	-4291963	-1128113	REIKYUUSHA	6	
697	3321776	-4423134	-972480	PETRA	0	1,3
699	3659632	-4375081	-973353	USSHER	8	1,2,3
700	3766416	-4377313	-926318	CLEPSYDRA	4	1,2
702	3697488	-4416870	-865835	RABBIT LEAP	5	1
705	4132496	-4198862	-3097695	MALAKIS	0	1
707	3656784	-4128231	-3131101	RABBIT HOP	6	
708	2750000	-4184912	-2582183	HANNAKA	0	
709	3463568	-4138523	-2428710	MANOLO	11	
710	3125712	-4146492	-2490746	MANAGA	1	1
712	2656784	-3863163	-2075846	BLACK CURTAIN	1	
713	2801424	-3939203	-1655792	BLACK ICE	1	1,2,3,9,12,15,16
715	3170352	-4039313	-1817825	ZATATAKOWSKI	0	1
717	3232496	-4109312	-2131775	KARINE	3	1
720	270352	13563	884672	GALVANA	0	1,2,3,4,5,6
725	-136432	-45069	1070467	TYRANT	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
727	3004272	-3998610	186034	KANE	0	1,2,3,4
732	3266416	-4034407	-194481	PROXIMO	0	4,5,11
735	2766416	-3796421	167479	CHECKMATE	0	1,2,3,4,16
740	4097488	-4332993	-1292308	GNOME	5	
741	3859632	-4323690	-1390548	CURIAN	2	1,2,3,4,5,6,7,8
756	3890704	-4320850	-1439499	QUAERIAN	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,44
777	3966416	-4699706	-1094185	LI-1	6	
778	3452848	-4714008	-1406861	HAVEN	0	3,4,5,7
784	3828560	-4747754	-1135269	ROMA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24
788	4035344	-4784112	-864143	TIFERET	3	3,12,15
790	4379984	-4752941	-462900	WRAECA	10	1
792	4686768	-4939542	-603207	SPENT	6	
793	4793552	-4997362	-232985	WILL O' WISP	11	1
795	4617840	-4849796	-572610	DEPOT2	6	
796	3759632	-4375620	-1297103	TANDERUS	6	
797	3146064	-4414890	-1328862	METRIIA	0	3,5,7,9,11,21
804	3835344	-4633056	-665323	SOLITARIA	11	
822	3766416	-4629610	-721972	SOLARIS LUPUS	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,32,33
833	256784	-20787	374538	PESHT	7	
834	425712	-34229	248688	LUTHIEN	6	
835	770352	-131847	665208	CHANDLER	10	1
837	508208	-149311	1051647	BENJAMIN	9	
838	163568	-107470	773613	CAMLANN	5	1,2,3,4,5
840	3470352	-4125558	-2108445	SOMBA	0	
842	4042128	-4393971	-537189	RED MASK	9	
843	3466416	-4809260	-635953	FELANA	0	2,4,5
845	4011056	-4899534	-416736	NYMA	6	
846	4224624	-5110857	265322	SAMARKAND	0	1
848	18928	-40432	159913	JULIA	0	1
849	470352	-227341	756293	ABI	9	
850	532496	-240661	581056	EMILIE	9	2,3
853	1239280	-487133	187162	MARIE EVE	5	1,2
856	732496	-621830	298907	MICHELLE	2	1,2
859	501424	-961296	581245	LIGEIA	7	
860	1052848	-1236149	1272524	GABRIELLE	1	6,15
862	587856	-70599	-335898	ENTOMERIS	1	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
876	856784	-115105	-490277	SAVITAR	6	
884	4855696	-5021075	-427237	AURALA	0	1,2,3,6,9
890	4066416	-4345367	-1213037	PRIMEIRO	6	
891	3883920	-4546144	-1942429	DARK STAR	5	1
929	339280	-101762	1148923	LOS	2	1,2,3,4,5,6,7
937	232496	-156762	766748	RED EYE	3	
938	446064	-140246	1406798	NEW AVALON	8	1,3,4,5,6,7,8,9,11,12,13,14,15,17,19,20
940	521776	-95961	1811900	COME HERE NEXT	7	1
956	408208	-141826	1103489	HALBWOLFS QUASAR	11	
957	3535344	-4622009	-336319	SKYE	0	
958	3328560	-4728964	-571556	SUMU	0	
959	3290704	-4837570	-933229	ZZ9-PLURAL Z-ALPHA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
981	3935344	-4824120	-724426	OUTREACH	4	
1003	4366416	-4339783	-1219192	KRYANNI	1	1,2,3,4,5,6,7,8
1008	3552848	-4333415	-1509004	LIANE	6	
1009	3070352	-4346159	-1684178	GRISAILLE	6	
1010	2825712	-4348582	-2160308	MORNE	6	
1011	2818928	-4348493	-2551282	STEPPE	6	
1012	2543216	-4381058	-2840885	FRIENDLY INN	6	
1017	4059632	-4388757	-1624134	ISHTAR	9	1,2,4,6,7,8,11,12,20,38,39,42,45,46,47,49,50,51,52,53,56,70,71
1048	4104272	-4330559	-852568	ABRAXIS	1	1,2,3
1052	3721776	-4227015	-1407043	DEAMOND	11	1
1053	3659632	-4227550	-1146095	JULIUS	4	1,2,4
1062	4304272	-4864874	-1110519	RED SISTERS	8	1,2,3,4,5,6,7,8,11,16,17,18,19
1065	4073200	-4600279	-799854	GYN	4	1,2,3,4,5,6,7,14
1074	3904272	-4365172	-679394	LIGHTHOUSE	4	1,2
1079	4686768	-4339542	-574721	XNO 1	6	
1080	4255696	-4326031	-110887	LISTA 1	6	
1081	4117840	-4327381	-111080	CLYSTRA	10	1,2
1096	4273200	-4348925	-1047278	SARIKA	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1097	4059632	-4333879	-1442615	XANDAR	2	1,2
1100	4373200	-4523248	-1133268	CORNELIA	10	
1101	4811056	-4866096	-1190366	SAN CRISTOBAL	6	
1102	4973200	-4867216	-1427823	ALUNDRA	3	1,2,3,4,5,6,7,8,9,10,11
1114	4979984	-4913850	-1102867	JAVALATH	2	1,2,3,4,5,6,7,8
1123	5773200	-4956989	-2473711	WIT	6	
1124	6073200	-5011030	-2735168	POSEIDON	1	1,2,3,4
1129	6048912	-5024188	-2079836	ARID	0	1,2,3,5,6
1135	6555696	-4832326	-2337595	NEW FELYSIA	0	4,10
1139	3077136	-4447919	-1286006	TOURRESH	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1182	3308208	-4544237	-1774859	THE UNDERDOGS	11	1,2,4,14
1187	3408208	-4320650	-1944684	LAP931	7	
1188	3194640	-4015176	-2454232	GAMESPY	8	1,2,3,4,14,15,24,40,41,43
1199	2512144	-3989701	-2674709	ORIONBLADE	3	1
1201	1974288	-3727656	-2263043	HOF 1	0	1,2,3,4,5
1207	2374288	-3844078	-2706797	HOF 2	0	1,4
1210	2550000	-3850000	-2650000	ABANDONMENT	11	
1212	2974288	-3903174	-3326370	CELESTIAL	1	1,6,26,27
1221	4613904	-4279877	1160764	HALLOWEEN	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1255	4855696	-5027844	-732805	ARIES	0	4
1257	-132496	103272	-565955	LEBRIZ	0	4
1262	39280	-262948	1450474	KALANTA	5	
1263	-122864	-281953	1858744	ZEROA	8	1,2,3,7,8
1270	4259632	-4344350	-1559886	GELBEN	0	3,6,7,16
1274	4528560	-4391346	-1746540	YASHMAK	0	3,4,6
1276	3952848	-4679972	-1872131	ZAMMARKAND	0	3,4,23,27
1281	3646064	-4704440	-1773666	LIALTAR	6	
1282	3952848	-4820328	-1619072	BRAS	0	3,4,12
1286	2714992	-4354079	-792717	JIRON	0	1,2
1289	2163568	-4986571	-1193383	GREAT LADY	0	1,2,3,4,5,6,7,8,9,10
1300	3690704	-4370114	-1304184	LAVA LAMP	3	1,2,3,4,5,6,7,8,9,10
1302	3852848	-4360565	-1796331	PYSOTRON	11	1
1304	3908208	-4333788	-2413591	ARTIS	0	1,2
1307	4252848	-4268974	-1981463	MASS FLAME	2	
1308	4697488	-4226106	-1920267	PING PONG	10	
1309	4959632	-4228170	-2470531	MAGFOR	6	
1310	4128560	-4403885	-1377859	VETEREC	8	1
1312	4604272	-4397418	-1321038	BLUE BLAZE	7	
1313	4866416	-4334985	-1779783	CHILLED	9	1,2,5,6,9,10,31
1322	3683920	-4321661	-1688096	DEC	0	5,8
1327	4511056	-4378635	-857833	KATERI	0	4
1330	4879984	-4503699	-961220	RED HARVEST	3	1,4,5,11,13
1335	4831408	-4703641	-20912	TELESME	0	5
1340	-363568	-271605	-221691	PSELEMEME	4	1,2,3,6,30
1347	-701424	-293517	-259154	OMIC	0	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25
1359	3742128	-4428007	-203501	PURPLE HAZE	7	1
1362	3879984	-4433256	20761	LAKESIDE	10	1
1363	4024624	-4435637	397924	FADE TO BLACK	6	
1364	3624624	-4454127	768270	CYLORE	6	
1365	3462480	-4481780	1175915	GAUSS	9	1,2,3,4,5,6,7
1371	3738192	-4502467	1540614	HOLE	6	
1372	4113904	-4534813	1608186	TORQUE	6	
1373	3844976	-4358971	1862310	SOLO	8	
1376	3055696	-4479869	1293181	MISERY	6	
1377	2855696	-4518981	1488964	SANITARIUM	6	
1378	2779984	-4521589	1137544	HOLLOW	6	
1379	2373200	-4524218	1084735	NOX	6	
1380	2804272	-4533223	432307	THE VOID	6	
1381	2979984	-4589577	775650	UNFORGIVEN	6	
1382	3324624	-4625763	1138592	SORROW	6	
1383	2955696	-4633889	1382110	BLACKENED	6	
1384	3131408	-4623621	1755683	POE	11	
1385	2642128	-4521735	863778	SARTRE	6	
1387	4159632	-4836827	-1726052	FOUNDER	0	4
1388	4679984	-4440337	-1043044	PLENDERS' STAR	0	3,4
1391	4773200	-4604238	-1231574	MELOSIN	0	3
1393	-5360	-82929	726943	FUORER	0	1,2,3,4
1398	5055696	-4381963	-636466	BET BLAZE	0	1,16
1400	5324624	-4340098	-894947	FUEL STAR	6	
1401	5555696	-4349718	-1121022	COOL RED	3	
1402	6038192	-4321858	-842897	BROWN ORB	5	
1403	5938192	-4342459	-688652	PURPLE LIGHT	7	
1404	6076048	-4328697	-658534	YELLOW	0	3
1407	4586768	-4338966	-492917	BIBELOT	7	1
1415	3611056	-4316254	69343	MILIUM	2	1,2,3,4,5,6,7
1416	5266416	-4848653	-2334774	OSTGARDR	0	4
1418	5248912	-4847794	-1284999	GRAY 1	6	
1421	5517840	-4407998	-1529357	SAPPHIRE	1	1,8
1422	5779984	-4363991	-1880236	RIMMER	2	1,2,3,4,5
1423	4352848	-4395547	-2049316	VALENCIA	4	1
1425	4452848	-4422120	-2217681	GRAY STAR 2	6	
1426	4446064	-4487721	-2624130	VICEROY	4	30
1428	218928	30906	-48140	RIBELLA 75	0	2,4,6,7
1432	570352	17743	592279	PROMISE	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1492	3490704	-4119378	-1033599	CLAYPOOL	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1511	3152848	-4238818	-947940	TERGIVERSATION	10	1,2
1514	3479984	-4292650	410844	NEO	9	1
1515	-701424	6483	-300588	LONE SUN	0	
1517	-994640	-73062	432928	RUBY	3	4,7,9,29,33
1522	-1070352	-88798	23473	NINTUIT	0	3
1524	-770352	-114475	-280746	AMENTI	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1540	-939280	-149204	-374227	GLISTER	0	1,2,3
1545	3897488	-4324932	-1025582	JEHOVABOH	8	4
1546	4448912	-4540329	-496923	LOVECRAFT	0	1,2,4,5,6,12,21,22
1548	4821776	-4404922	-2423773	PAUL'S STAR	0	1,2,3,4,5,6,13,14,15,16,17,18,19,20,27,28
1583	3670352	-4880794	-2276340	KHLER3L	11	1,2,3,4,5
1589	3270352	-4901395	-1877069	PHYIEXL	11	1
1590	3897488	-4424932	-1122386	CORNUCOPIA	6	
1591	3277136	-4429407	-1460385	FRONTIER	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1592	3352848	-4391963	-1106519	ADELPHE	2	
1593	3290704	-4437570	-887888	ELOHIM	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1623	3174288	-4345848	-3434396	QUATTUOR	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1652	2736432	-4489518	-3373768	RAVAYA	0	4
1654	4248912	-4705694	-255597	PAKALA	0	2,3,12
1661	3979984	-4519436	-341641	PIPOU	11	1,2,3
1665	3804272	-4598014	-584664	FOORMWAH	0	1
1667	4073200	-4700279	-800989	UBU REX	0	1
1670	2708208	-4423615	-1185378	MARIA	0	1,2,3,4,5,6,7
1679	3535344	-4822009	-330388	DEAD STAR OF DAMATS	6	
1680	2783920	-5342560	-724918	STELLA A MOERTE	11	1,2
1683	4179984	-4732638	-338298	STEREO HEAD ROOM	8	1,2
1686	687856	-4192096	-362824	CHARLANTI ALFA	0	4
1688	994640	-4160238	-343727	CHARLANTI BETA	0	
1689	-47152	-490120	2077531	YOMI	6	
1690	-560720	-816391	2077163	DIAN	0	1,2,3,4,5,6,7,8,9,10,11
1702	4473200	-5028644	-1182231	SURREALISM	0	1,2,3,4,5
1705	263568	-40889	697578	LISTA 2	6	
1736	3477136	-4341968	-1645412	CHEVRON	6	
1738	-325712	-61387	-204494	SHELL	6	
1745	3814992	-4409913	-1856513	LUPUS	0	1,2,3,4,5,6,7,8,9,10,14,15,16
1747	3770352	-4542875	-2364699	ICHTENSTEIN	0	3,4,5,6,23,25
1760	3673200	-6071914	-358756	ACHERON	6	
1761	3459632	-5895682	-830421	OUTPOST	0	
1763	3559632	-5919846	-830792	WISP	0	3
1764	3290704	-5937570	-828541	ZEBULON	0	
1765	3059632	-6036884	-363844	GEM	0	4
1767	3297488	-6100747	-456650	DELIRIUM	0	
1769	3128560	-6135234	-428993	IGNUS	0	4,11,13,14
1773	1752848	-5160015	518853	HOPELESS	0	1,2,3,4,5,6,7,8,9,10,11,12
1774	3666416	-4376784	-608561	SNOWMAN	2	1,2,3,4,5,6,7
1782	3535344	-4422009	-342251	BALBERT 1	6	
1783	3879984	-4733256	-28785	BALBERT 2	6	
1806	3473200	-4782739	43271	GIALDORA	0	1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1823	3417840	-4918145	586133	DALB-100	5	1
1825	3773200	-4846237	-462749	DALB-101	5	1
1827	156784	-4245538	225243	CHARLANTI MAIOR	0	32,33,38
1831	163568	-4239378	618780	STERIL I	0	1
1833	456784	-4261371	77674	CHARLANTI ALFA	0	3,14,27
1845	4148912	-4488377	-127177	GORGON	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1866	3804272	-4498014	-620206	PINACLE	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1887	4035344	-4484112	-905031	GLOWER	0	1,2,3,4,5,6,7,8,9,10
1898	4273200	-4448925	-983204	LI+-PALOR	6	
1900	3490704	-4419378	-1073553	TRECHEROUS LIGHT	0	1,2
1902	3373200	-4448945	-113757	GARDEN OF LIGHT	0	1,2,3,4,5,6,7,8,9,10,11
1914	3597488	-5147303	-787501	LET US SLEEP NOW	1	1,2
1917	3197488	-4131180	-379678	SHOMI	0	1,2,3,4,5,6,7,8,9
1928	4404272	-4432031	-1197705	DIARAI	0	1,2
1931	5186768	-4366713	-1035312	MARIANNA	9	2
1933	4348912	-4223012	-412744	SABRINA	1	1,2,3,4,14,15,16,17,18,19,20,21
1947	4842128	-4434279	-1348838	UMBER	0	18,20
1950	4655696	-4329115	-291333	SCHOLAR	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1951	3459632	-4395682	-759830	ARCATERA	1	3,16
1953	4255696	-4526031	-42075	LIP 001	6	
1954	3704272	-4430857	-516066	LIPP 001	6	
1955	3979984	-4443407	-24154	LIPP 002	6	
1957	4693552	-4437051	-215966	LIP 002	6	
1958	4324624	-4432930	94268	LIP 003	6	
1959	4807120	-4451397	579737	LIPP 003	6	
1960	3862480	-4439790	977074	LIP 004	6	
1961	4469264	-4387862	683077	CORINTHIA	0	1,5,6,7,13
1963	4255696	-4407340	93768	BRIGADIER	0	4
1965	3786768	-4347922	287600	LISTA 3	6	
1990	3542128	-4619626	37971	NIFORAN	0	1,2
1993	4586768	-4538966	-543419	GAS STATION	6	
1994	3821776	-4329682	-1490527	NOFILUM	7	
1995	3559632	-4419846	-912889	SENSENBRECHT	9	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2036	4135344	-4444104	-968264	LONLEY	0	
2037	4524624	-4639221	-108214	TENTALON	0	1
2039	4017840	-4633971	46396	CASTOR III	5	1
2041	4786768	-4771191	-649231	HYPERION	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
2047	5255696	-4742851	-876303	VOYGAER	10	1
2052	4083920	-5039555	-2105840	NIRVANA	0	1,2,3
2053	3859632	-4354480	-1203783	TEKLA	9	
2054	3277136	-4229407	-1505653	EXXON	6	
2056	4573200	-4541260	-1089678	ESTRELA FEIOSA 00001	1	2
2058	4879984	-4603699	-1023471	LUX	11	1
2060	5155696	-4627943	-741144	BOOOM	10	1
2061	6469264	-5056815	-1222128	POSTO DE GASOLINA	6	
2063	6076048	-5028697	-657493	SADOC LADEIRA	3	1,2,3,4,5
2069	6082832	-5024378	-346802	MINER	0	5
2073	6251760	-5044996	-324250	TORMENTA	0	1,2,3,4,5,13,14
2080	5869264	-4701184	-847284	LENORA	0	4
2081	4782832	-4395414	997135	PERIHELION	0	3,9
2105	3966416	-4366334	-852728	HUSSELL'S STAR	0	1,3,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38
