#ordinal	x	y	z	name	classtag	bodies
135	-18928	-29680	-67336	BALASTRACKONASTREYA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
155	3652848	-4721750	-1527226	AMARILLA	4	5,6,15,18,20,21
162	3846064	-5800261	-1971425	BEAUTY JUNIOR	9	6
177	3377136	-4558630	-1790935	GLIMMER II	4	5,10,17,32,33,34,35,36,37,38,39,40,41,42,59
178	4177136	-4758332	-2550808	INFANTUS	9	1,3,10,22,38
182	3963568	-4820590	-3218725	BLAETH	11	1,2,3,4,5,6
184	3236432	-4900864	-3865708	FIRST-ZERO	0	1,2,3,4,5
185	2674288	-5035112	-3169307	DISAPPOINTMENT	0	1
186	1216080	-5223402	-3128874	MASSARAI	0	4
188	246064	-544425	1557082	MOTHER	4	1
211	1373200	-778257	2089632	BOUNTY	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
217	2355696	-920154	2032037	SPANIANA	0	1,2
219	2786768	-993580	1300493	UNSUITABLE	6	
220	4776048	-1351212	873306	BARREN	0	
222	4193552	-1728711	281299	FERTILIA	0	5
223	3129648	-4755058	-4219207	EMMA YA	6	
224	4181072	-4821938	-4274269	LIGHTNING	1	3
229	4348912	-3923012	-386959	PRODIGE	9	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
243	1962480	-818203	2606087	GOLIATH	4	1
293	3866416	-4813508	-735695	ROTOR IGNE	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
296	2952848	-4848045	-883575	ENGIROTORTES MAJOR	8	1,2,3,4
320	4142128	-4282625	-592209	FRISOFORA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
322	3121776	-4855657	-847391	BENNY MAJOR	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
361	3552848	-4533415	-1460079	ATANOR	6	
362	3383920	-4384937	-1358521	MUNICH	0	1,2,3,4,5
369	3252848	-4375194	-1151718	ANDRAMON	2	1,2,3
372	2521776	-5015370	-132554	COCA E RHUM	8	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
394	-56784	-15693	-129542	YLASTRAVENYA	0	1,2,3,4,5,6,7
441	174288	-44389	-688771	IDEAL	0	1
480	239280	-632515	1210717	GEMINI PRIMUS	8	1
507	4217840	-4251864	-191307	ATHLASSIA	2	1,2,3,4
511	3159632	-5861048	-488959	CANPHORA I	8	1,2
525	1701424	-5489661	-530841	LONELY GIANT	4	
526	3008208	-5683926	-1431904	BIG BROTHER	8	1,2,3,4,5,6,7,8,9,10,11
538	1970352	-5270044	-562318	UNTRUELY MULTIPLE	8	
539	2459632	-5106073	-5509	UPHRET ALPHA	8	1,2,3
543	4048912	-4271060	-89414	KONNRAD'S FIRE	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
545	4673200	-4422749	-1215685	QUENCH	6	
547	5179984	-4424194	-1495125	MONDAY	1	1,2,3
550	4755696	-4989030	-530150	LIGHTTOWER	11	1,2,3,4,5
557	4142128	-5182625	-629021	TRIUMVIRATE - CAESAR	8	1,2,3
560	4511056	-5078635	-871082	WITCH	10	1,2
564	4162480	-6132645	587893	RETREAT	0	1,2,3,4,5,6,7
565	4889616	-8798910	1335199	SHELL STATION	6	
566	3542128	-4319626	-23198	AZURE	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
577	3648912	-4732863	353992	TREASURY	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
588	3466416	-4409260	-647355	ACHATES	6	
591	3459632	-4362483	-1005168	LYON'S PRIDE	3	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,28,29,32,33,34,35,36,37
592	3552848	-4245109	-1290363	HYPNOS	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
609	2846064	-4721160	-1042736	ASTARIA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
614	3266416	-4234407	-205776	DESTINY	0	1,2,3,4,5,6,7,8
620	3828560	-4347754	-1069241	AARAU	1	1,3,6,11
622	22864	-5412632	-1498963	LENTIL	11	
623	-1021776	-5360925	-963062	SNOOKER BALL	10	
630	-1032496	-5288368	353369	TANGERINE	4	
633	-839280	-4633030	-282228	PEPPER SPEAR	0	1,2
637	3683920	-4221661	-1662156	ROGUE I	2	1
638	3608208	-4273476	-2115401	COLD STAR	8	1
640	3601424	-4345494	-2419251	BASSALEG	1	2
642	3087856	-4383737	-2767901	MILLENCOLIN	11	2
644	3835344	-4433056	-746195	TWO DAUGHTERS	0	1,2
647	156784	-84958	479267	DEPOT	6	
652	3014992	-4469307	-1109646	ZARSH	0	3,4,9,10
653	4073200	-4400279	-797583	TVIP	0	
655	3535344	-5122009	-387026	PALANDRIA	0	1,2,3,4,5,6,7
664	-1132496	-30467	201715	THALASK	0	3,5,6,22
674	3283920	-4372695	-1275337	OSSE	6	
675	-156784	-37190	-85076	SHTAMAN	0	1,2,3,4,5,6,7,8,9,10,11,21
691	3452848	-4418536	-1229104	DECONSTRUCTION	2	1,2,3
694	3352848	-4291963	-1128113	REIKYUUSHA	6	
697	3321776	-4423134	-972480	PETRA	0	1,3
699	3659632	-4375081	-973353	USSHER	8	1,2,3
700	3766416	-4377313	-926318	CLEPSYDRA	4	1,2
702	3697488	-4416870	-865835	RABBIT LEAP	5	1
705	4132496	-4198862	-3097695	MALAKIS	0	1
707	3656784	-4128231	-3131101	RABBIT HOP	6	
708	2750000	-4184912	-2582183	HANNAKA	0	
709	3463568	-4138523	-2428710	MANOLO	11	
710	3125712	-4146492	-2490746	MANAGA	1	1
712	2656784	-3863163	-2075846	BLACK CURTAIN	1	
713	2801424	-3939203	-1655792	BLACK ICE	1	1,2,3,9,12,15,16
715	3170352	-4039313	-1817825	ZATATAKOWSKI	0	1
717	3232496	-4109312	-2131775	KARINE	3	1
720	270352	13563	884672	GALVANA	0	1,2,3,4,5,6
725	-136432	-45069	1070467	TYRANT	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
727	3004272	-3998610	186034	KANE	0	1,2,3,4
732	3266416	-4034407	-194481	PROXIMO	0	4,5,11
735	2766416	-3796421	167479	CHECKMATE	0	1,2,3,4,16
740	4097488	-4332993	-1292308	GNOME	5	
741	3859632	-4323690	-1390548	CURIAN	2	1,2,3,4,5,6,7,8
756	3890704	-4320850	-1439499	QUAERIAN	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,44
777	3966416	-4699706	-1094185	LI-1	6	
778	3452848	-4714008	-1406861	HAVEN	0	3,4,5,7
784	3828560	-4747754	-1135269	ROMA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24
788	4035344	-4784112	-864143	TIFERET	3	3,12,15
790	4379984	-4752941	-462900	WRAECA	10	1
792	4686768	-4939542	-603207	SPENT	6	
793	4793552	-4997362	-232985	WILL O' WISP	11	1
795	4617840	-4849796	-572610	DEPOT2	6	
796	3759632	-4375620	-1297103	TANDERUS	6	
797	3146064	-4414890	-1328862	METRIIA	0	3,5,7,9,11,21
804	3835344	-4633056	-665323	SOLITARIA	11	
822	3766416	-4629610	-721972	SOLARIS LUPUS	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,32,33
833	256784	-20787	374538	PESHT	7	
834	425712	-34229	248688	LUTHIEN	6	
835	770352	-131847	665208	CHANDLER	10	1
837	508208	-149311	1051647	BENJAMIN	9	
838	163568	-107470	773613	CAMLANN	5	1,2,3,4,5
840	3470352	-4125558	-2108445	SOMBA	0	
842	4042128	-4393971	-537189	RED MASK	9	
843	3466416	-4809260	-635953	FELANA	0	2,4,5
845	4011056	-4899534	-416736	NYMA	6	
846	4224624	-5110857	265322	SAMARKAND	0	1
848	18928	-40432	159913	JULIA	0	1
849	470352	-227341	756293	ABI	9	
850	532496	-240661	581056	EMILIE	9	2,3
853	1239280	-487133	187162	MARIE EVE	5	1,2
856	732496	-621830	298907	MICHELLE	2	1,2
859	501424	-961296	581245	LIGEIA	7	
860	1052848	-1236149	1272524	GABRIELLE	1	6,15
862	587856	-70599	-335898	ENTOMERIS	1	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
876	856784	-115105	-490277	SAVITAR	6	
884	4855696	-5021075	-427237	AURALA	0	1,2,3,6,9
890	4066416	-4345367	-1213037	PRIMEIRO	6	
891	3883920	-4546144	-1942429	DARK STAR	5	1
929	339280	-101762	1148923	LOS	2	1,2,3,4,5,6,7
937	232496	-156762	766748	RED EYE	3	
938	446064	-140246	1406798	NEW AVALON	8	1,3,4,5,6,7,8,9,11,12,13,14,15,17,19,20
940	521776	-95961	1811900	COME HERE NEXT	7	1
956	408208	-141826	1103489	HALBWOLFS QUASAR	11	
957	3535344	-4622009	-336319	SKYE	0	
958	3328560	-4728964	-571556	SUMU	0	
959	3290704	-4837570	-933229	ZZ9-PLURAL Z-ALPHA	0	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
981	3935344	-4824120	-724426	OUTREACH	4	
1003	4366416	-4339783	-1219192	KRYANNI	1	1,2,3,4,5,6,7,8
1008	3552848	-4333415	-1509004	LIANE	6	
1009	3070352	-4346159	-1684178	GRISAILLE	6	
1010	2825712	-4348582	-2160308	MORNE	6	
1011	2818928	-4348493	-2551282	STEPPE	6	
1012	2543216	-4381058	-2840885	FRIENDLY INN	6	
1017	4059632	-4388757	-1624134	ISHTAR	9	1,2,4,6,7,8,11,12,20,38,39,42,45,46,47,49,50,51,52,53,56,70,71
1048	4104272	-4330559	-852568	ABRAXIS	1	1,2,3
1052	3721776	-4227015	-1407043	DEAMOND	11	1
1053	3659632	-4227550	-1146095	JULIUS	4	1,2,4
1062	4304272	-4864874	-1110519	RED SISTERS	8	1,2,3,4,5,6,7,8,11,16,17,18,19
1065	4073200	-4600279	-799854	GYN	4	1,2,3,4,5,6,7,14
1074	3904272	-4365172	-679394	LIGHTHOUSE	4	1,2
1079	4686768	-4339542	-574721	XNO 1	6	
1080	4255696	-4326031	-110887	LISTA 1	6	
1081	4117840	-4327381	-111080	CLYSTRA	10	1,2
1096	4273200	-4348925	-1047278	SARIKA	8	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1097	4059632	-4333879	-1442615	XANDAR	2	1,2
1100	4373200	-4523248	-1133268	CORNELIA	10	
1101	4811056	-4866096	-1190366	SAN CRISTOBAL	6	
1102	4973200	-4867216	-1427823	ALUNDRA	3	1,2,3,4,5,6,7,8,9,10,11
1114	4979984	-4913850	-1102867	JAVALATH	2	1,2,3,4,5,6,7,8
1123	5773200	-4956989	-2473711	WIT	6	
