# case	record	name	stored_hex	x	y	z
# records=4194 cases=4332
82	82	SPUR 3	c0dba2fdd79e91cb	-2862480	-6260473	-1579197
83	83	BEVE	c0db96b9ff2544e0	4889616	-4398910	1313447
84	84	NESS	c0db963871a216cd	3269264	-4427846	1951456
85	85	LUMINARY	c0db877c42b413c2	4644976	-6123464	991091
86	86	IGNAZION	c0db1062a9a3d531	3331408	-5456165	1524673
87	87	CANDLIMARA	c0db09eec41e0afe	5327472	-4299442	1208799
88	88	WOTAN	c0db087dba64481b	3462480	-6134435	1303272
89	89	MARIANNE	c0dad9baf7a34569	5396400	-4152620	1226948
90	90	DIRL	c0da8e8aee1438f1	3809968	-1942060	3675292
91	91	TYRIAD	c0da343b653f6666	5665328	-4477163	1057889
92	92	GAS2	c0da11575f67dffb	3062480	-4998009	1743946
93	93	COLER	c0d9e0ea08d09dcf	-1507120	-4842032	-3631322
94	94	OOZE	c0d9d0a342e4a776	5765328	-5032975	911010
95	95	SESSIGE	c0d9be89659daa2c	4451760	-4337229	1365327
96	96	MORIA	c0d9be27849271e2	3876048	-4435559	1533268
97	97	DOCUM	c0d99976750458d3	4376048	-4847629	1235718
98	98	CUYG	c0d975fbc36cefe5	4551760	-4335716	1321092
99	99	BVANK	c0d96ae65c333b34	4276048	-5541552	1098399
100	100	HOLE	c0d9528d3e084e61	3738192	-4502467	1540614
101	101	YORIAT	c0d945fb8f9526dd	4413904	-4349423	1348058
102	102	KORDELIA	c0d92fba2ea0c84b	3055696	-6379869	1322954
103	103	POE	c0d8d2e3b023ad07	3131408	-4623621	1755683
104	104	BLUE YELLOW STAR	c0d8b8bfc0478d9e	3869264	-5944472	1100617
105	105	NENDREK	c0d8b8ab3f397ee8	4851760	-4308407	1211034
106	106	DIANE	c0d8a23d0392b586	3869264	-5844472	1115467
107	107	MDIR -3	c0d896f6f5e32f3a	1851760	-3255254	4177185
108	108	LISTA 70	c0d84eb507eb63b0	3976048	-4429289	1413363
109	109	SYSTON	c0d82b78b775a1cf	3869264	-5444472	1174868
110	110	CARREA	c0d7d97e417ddd5a	-1438192	-4830566	-3515328
111	111	FERREL	c0d7d89fdcb64048	-1338192	-4834587	-3774341
112	112	GTON	c0d7cad6389e6681	4513904	-4364650	1236617
113	113	RED STRANGER	c0d7a2667cf8fea6	2686768	-6361932	1415875
114	114	GOLDEN FONT	c0d785fa763c8dd3	6034256	-4325458	922876
115	115	NORAV	c0d73c65a4d5264d	5120688	-4337096	1071353
116	116	RR-82	c0d72749222209e5	4476048	-4648525	1139478
117	117	CHRONO BREAKER	c0d7100628457df5	-782832	-6140930	-4912532
118	118	NOGAS2	c0d6ebed9bee8e63	3400336	-4424777	1560025
119	119	MDIR -2	c0d6d5a31542fe04	2231408	-3973779	2636994
120	120	HALLOWEEN	c0d662627dd778f4	4613904	-4279877	1160764
121	121	LISTA 23	c0d65dfb06e54318	4069264	-4767857	1180513
122	122	GENRE	c0d64f656351cbaa	3665328	-1929861	3229709
123	123	WISWAN	c0d63fd44f99cf1b	4276048	-4146733	1284897
124	124	SNOZEN PRIME	c0d61c91b1affcd2	4038192	-4540663	1234849
125	125	TEST	c0d616cdb36326cb	5489616	-5343100	771156
126	126	HEFBA	c0d5e678d7ee9f7b	4776048	-5351212	877463
127	127	KELTA	c0d5ccd38070844e	5658544	-4943265	798068
128	128	SROM ALPHA	c0d58ca490e15a93	2962480	-4637612	1606146
129	129	RURITANIA	c0d56d61f569ae16	-920688	-4849920	-4913827
130	130	FREEDOM	c0d536bf488fbb51	4482832	-3728235	1299762
131	131	TRUNON	c0d516454a6cdfc6	4107120	-4445444	1182666
132	132	SOLISSIMA	c0d4f0932d515053	5796400	-4309349	858423
133	133	WAIPOINT4	c0d4db31398b580c	4844976	-5439587	810360
134	134	REYVAIR	c0d49182bd7da1ed	4476048	-4348525	1082091
135	135	BIKRU	c0d490d7ad50dc3f	4276048	-4341552	1134378
136	136	REMDA	c0d479838e916716	6134256	-4295602	795666
137	137	PERIHELION	c0d4789305374bf3	4782832	-4395414	997135
138	138	INUTIL	c0d47612a63a3268	5051760	-4350783	953282
139	139	GRAY STRANGER	c0d46d8020dc9047	4000336	-5934333	881154
140	140	NARKKU	c0d460d615cbeb08	5827472	-4968989	720641
141	141	TRIPLE ZERO	c0d4521d5c94bfce	-1076048	-4642017	-4165830
142	142	BERGA	c0d402ed84f440c1	2824624	-4422179	1640519
143	143	NOGAS	c0d3f70eee6bf392	4307120	-4418574	1074241
144	144	LA JULIA	c0d3d46c070b21b0	-589616	-6341131	-5431024
145	145	RUBAIYAT	c0d39354f27c053c	-644976	-6346615	-4896970
146	146	ROPEIL	c0d380d774c95093	-1007120	-4813965	-4119302
147	147	BRACKIS	c0d3374baa9c7e1a	1648912	-5048663	2363682
148	148	NIGHTY LAMP	c0d2fe6fa0fc6cbf	3086768	-6357454	991121
149	149	OUTER CHARGER	c0d2f35279263cc1	-644976	-6146615	-4894863
150	150	LISTA 30	c0d2db5b0947235f	4269264	-6135814	737130
151	151	STALIN	c0d2dac211e0a2fb	4169264	-5339675	867244
152	152	XNOL XXVII	c0d2c49350a425a4	1396400	-2640687	5211806
153	153	SANITARIUM	c0d2c3b583f4b258	2855696	-4518981	1488964
154	154	BLACKENED	c0d27c78b4f86ff5	2955696	-4633889	1382110
155	155	RUBYFLASH	c0d26b920061468f	6465328	-6441812	452893
156	156	HEAT SINK	c0d25480e7db11cc	5996400	-5037714	621356
157	157	HOTIRIS	c0d251d9ae3f6275	3055696	-4879869	1258058
158	158	DESMES	c0d211b60955d689	2779984	-6221589	1069781
159	159	GANDIA	c0d1faf18f062507	3293552	-4810198	1162166
160	160	GLAUCESSNE	c0d1d6c38caef6a4	5458544	-4318954	774842
161	161	GAUSS	c0d1d1fbdfcb2931	3462480	-4481780	1175915
162	162	GAS1	c0d1a8b5cae78ed1	3969264	-4409540	1033150
163	163	ATEN	c0d19c02645d1c19	-720688	-4781410	-5232889
164	164	LISTA 71	c0d1781658839253	3900336	-4276431	1072474
165	165	PHEENER	c0d15596aa3547d6	5589616	-4963084	639843
166	166	MISERY	c0d149a07318291d	3055696	-4479869	1293181
167	167	SMOOTH	c0d1395c12886e8d	4458544	-1945053	2033813
168	168	CCCPTV	c0d131d78830711e	3831408	-4271991	1075736
169	169	TRIFECTA	c0d12d3d2b6dae25	1348912	-4927784	2646091
170	170	CONOCO	c0d11add5c5c7dce	-720688	-4821874	-5040323
171	171	SORROW	c0d119945fb43325	3324624	-4625763	1138592
172	172	SERGIO	c0d0f853146ad112	3255696	-5040757	1058870
173	173	ENDO	c0d0f7540cd2d817	2242128	-5736045	1350858
174	174	RAMUH	c0d0f56f8705e6c4	4507120	-4591703	839113
175	175	IMPERIAL POST 2	c0d0e759a5f0d6ed	5251760	-5611554	587346
176	176	NULL BOUNDARY	c0d0de92ca2affaf	4744976	-3731526	975618
177	177	PMS	c0d0c71d740e12eb	2955696	-4845734	1199542
178	178	REFUEL +1 B	c0d0bb45d394d4b1	4069264	-3667857	1147909
179	179	VERDULOM	c0d0affcdc3a85f6	4469264	-5487862	696708
180	180	ASKEW 10	c0d08938c664e7e8	5265328	-2222843	1446761
181	181	FIRST POPE	c0d080f508372818	848912	-6341198	3139412
182	182	MATHUZEL	c0d06850fb8d508c	3962480	-5014432	845577
183	183	RESONANT	c0d06595e5ed6d69	4576048	-3749421	978599
184	184	LIP 004	c0d05cdce1ab703c	3862480	-4439790	977074
185	185	BETINORM I	c0d038585386886b	4813904	-3910332	882353
186	186	SPUR 2	c0d02e27e7a36528	-1342128	-5859850	-2106716
187	187	SHAOLINWTSTAR1	c0d00a350508aba8	-1048912	-6135945	-2551998
188	188	SKARRJ	c0d009118a30b813	4576048	-4322743	830100
189	189	FERALON	c0cfe2dcd1050d95	4676048	-4516473	773026
190	190	LISTA 56	c0cfcceb5d6d6e64	4020688	-1947522	2079317
191	191	DAGWOOD	c0cfb5da11f9c956	3155696	-4823363	1066660
192	192	SEPTOS	c0cf41917896c20b	4200336	-5681208	670626
193	193	GLAUCENIA GAMMA	c0cf3d73f688a39f	5858544	-4342967	628645
194	194	GENIA	c0cf295ac3c2f791	4707120	-5664832	598338
195	195	ASKEW 21	c0cedeba6fcbc564	4858544	-2231770	1457644
196	196	CS-31	c0ce5167b27c5026	4469264	-4587862	757049
197	197	NOSFER	c0ce3bccf5f14caa	2986768	-4825805	1073961
198	198	LONE MULTIPLE	c0cd8f5d6ba6884c	3966416	4333666	-880483
199	199	SELI LETE	c0cd806fbefc2d96	4131408	-5255271	695703
200	200	MARDOC	c0cd7895fa3c13c4	-769264	-4828803	-4062099
201	201	RETREAT	c0cd4f936cdb5293	4162480	-6132645	587893
202	202	TULON	c0cd4eeb66a7dae8	3079984	-5552043	877524
203	203	RUTANA	c0cd4d8559e4fd46	4169264	-4539675	792675
204	204	AMBER LOVER	c0cd4d47245b6f13	-776048	-4351251	-4442859
205	205	ECHINUS	c0cd18a88fbf44ee	3544976	-1934786	2172010
206	206	LITHIUM 2	c0cd08eb837ed924	3655696	-5393605	753946
207	207	CHRISTOPHERS CURSE	c0cc9104ca2b8fe9	5758544	-5131474	494962
208	208	EVERREADY	c0cc19e601447919	-644976	-4799014	-4648349
209	209	HOLLOW	c0cbed6ecbfa5be9	2779984	-4521589	1137544
210	210	SINNEY	c0cbd575389a77aa	3824624	-5929346	628416
211	211	SOLOMONA	c0cb76e29ad9dce0	4269264	-4235814	777589
212	212	LISTA 65	c0cb5ddae540d1f4	4231408	-4937080	670712
213	213	DESIRE	c0cb17fe291dd6e6	5076048	-5253900	520153
214	214	WOODROW WILSON	c0caa10a1c6b8a23	1373200	-5038193	1970685
215	215	FIRETAFFLAND	c0ca89097c7ab9c8	3655696	-5293605	702057
216	216	SOUPLER	c0ca8680ae73795b	3655696	-5093605	729351
217	217	HOLEPUNCH	c0ca6b54880e1d5d	3766416	4322687	-830823
218	218	MIND	c0ca587fab4fc666	2669264	-2239373	2256637
219	219	BETINORM II	c0ca57c914751cc3	4369264	-3915628	788359
220	220	JASON'S STAR	c0ca2fd2a7187735	5551760	-4303333	561199
221	221	CORINTHIA	c0ca29bed4207dbc	4469264	-4387862	683077
222	222	GATHIS	c0c99a5a5d98e5ac	5689616	-4314139	534051
223	223	VALPUN	c0c97a92846431c0	5789616	-4934123	456656
224	224	ASKEW 9	c0c95877eb39aeba	4751760	-2171682	1257539
225	225	AUP	c0c93794eb311497	4638192	-4248129	655268
226	226	XYTHES	c0c935515d019683	4876048	-5003934	528973
227	227	YUTE	c0c931fcfd40e0ca	5551760	-5103333	455307
228	228	A TRUE MIRACLE	c0c8feea3c66dfd6	3286768	-5020751	775530
229	229	GRAY EYE	c0c8f5cfde55f0a2	3893552	-5778849	567977
230	230	PULSON	c0c8b39492d71836	2373200	-4824218	1104668
231	231	BETINORM III	c0c8afdc2270b194	4169264	-3939675	769516
232	232	UNLUN	c0c8af790295a1d8	4638192	-4348129	626700
233	233	WASHNIR	c0c8465df3c70967	3793552	-4549610	720123
234	234	LIPP 003	c0c83ab8d39d61e8	4807120	-4451397	579737
235	235	CYLORE	c0c839ae62933885	3624624	-4454127	768270
236	236	ELIPSOID	c0c8319a8ac95815	-873200	-6200198	-2287990
237	237	ALPUL 100	c0c823a12c5c418f	4162480	-4932645	601950
238	238	COLD AIR	c0c7daa2dbec9603	3824624	-5229346	610655
239	239	SCARBOROUGH	c0c7c247115c7d4f	4162480	-4332645	674514
240	240	BLUE RING	c0c79eee068dd9b3	-669264	-4270901	-4231048
241	241	FELIS AURORUM	c0c73489393123c8	4369264	-4800882	566404
242	242	LISTA 81	c0c71cf5982c26ae	3555696	-5347547	622371
243	243	KERRAVYN REESE	c0c6e39dc8caba80	3624624	-3854127	838900
244	244	HERE	c0c6d711c34e3953	6158544	-6408056	296322
245	245	LAO-SOL	c0c6c61a4f0f1dfc	1566416	-5593135	1330895
246	246	NOX	c0c6bf54e3637046	2373200	-4524218	1084735
247	247	XNOL XXV	c0c6bdd1e14b582f	2711056	-4622800	929063
248	248	JARN	c0c6b55958b2886c	4469264	-5265950	494019
249	249	SUBWAY BLUE	c0c6ad2e84844f45	-638192	-4247882	-4282743
250	250	OUTLAW BLUES	c0c6a610fc70d054	4638192	-3748129	667037
251	251	CAPUTO	c0c64a2c090b406c	3011056	-5741333	660151
252	252	WHITY	c0c63f175b5e28e2	2711056	-4822800	871150
253	253	SOLITARY	c0c62974ee9db06c	973200	-5009829	2327302
254	254	SUL	c0c61a6a18ff0295	4231408	-4237080	631209
255	255	EQUATORIAE	c0c6195d7ecf72df	-1042128	-4958576	-2189607
256	256	LAPIS	c0c616c80752af5a	3555696	-4847547	656144
257	257	ASKEW 8	c0c613d7a0f268d4	4276048	-2046733	1291565
258	258	BIG GIANT	c0c5eb15c1fd3916	2811056	-4549692	877456
259	259	ENSPRIS	c0c5c2f59223d0ab	3755696	-4439584	668232
260	260	IMMEMORY	c0c5b999dee7f0d2	3355696	-4169919	794913
261	261	BHOPAL	c0c5af706399de10	2879984	-4786591	805414
262	262	HOPE AGAINST HOPE	c0c55df7d629104d	5658544	-2443265	791297
263	263	LARUNE	c0c55db85609dd0d	4262480	-5376216	477371
264	264	WONKO THE SANE	c0c534bee9d6c34f	2542128	-4033081	1058998
265	265	GROOPER	c0c52988c237b849	-4844976	-5097829	-438687
266	266	LIGHTER	c0c527eb17e5bca7	3655696	-5455290	543143
267	267	LITHSTOP-2	c0c5169f51907798	3862480	-3989544	700686
268	268	MAX	c0c4fe91f4ef669e	2473200	-4536779	958003
269	269	MYONE	c0c4fb9f4617a9ff	5720688	-4838292	388146
270	270	FAR SHORES	c0c4de2ed6cc2159	3148912	-4346277	780676
271	271	GREENBELT	c0c4da9184eb79ef	376048	-5442863	5216559
272	272	UNFORGIVEN	c0c4b83b066d87f9	2979984	-4589577	775650
273	273	NADALIA	c0c49ff42d776463	3893552	-4278849	633851
274	274	BIUYTTER	c0c49cfb963dd04f	3479984	-6392650	474414
275	275	MYANDRIS	c0c4819d5327bbf5	5651760	-4340057	428034
276	276	SUENONASTREYA	c0c47b0b52c9196f	5482832	-5821092	328552
277	277	EPITAXY	c0c466d0232436df	3907120	-1841243	1452000
278	278	SCHWIMMER	c0c4309edcefc65f	1366416	-5070742	1491936
279	279	LITHIUM GEAR SOLID	c0c42aa25c47446e	-507120	-4385899	-4642287
280	280	SARTRE	c0c427c76e67ce9b	2642128	-4521735	863778
281	281	LISTA 83	c0c4268089949c8d	3755696	-6394104	429619
282	282	CHILD OF THE DAMNED	c0c410ecaf3e268e	4362480	-5219787	451177
283	283	BANNANA	c0c410ea02bc7bc5	1973200	-4015204	1296742
284	284	MDIR -1	c0c3caa8d9cd3c7a	2911056	-4845512	718392
285	285	TRIPOD	c0c3c2fcb50a0c15	4431408	-5638552	404934
286	286	BRIGHT-RED	c0c3c07a21469608	-538192	-4282814	-4387444
287	287	ASTUMA	c0c3b3f25e2d272a	1828560	-6110451	902855
288	288	HABRUMIA	c0c3b186890b57dc	3955696	-6200472	411097
289	289	AYTARIA	c0c3822b7890772a	4331408	-4287816	537809
290	290	ASTRA 2	c0c35f61e4c33c42	-679984	-5102327	-2858845
291	291	DALB-100	c0c33e48179df635	3417840	-4918145	586133
292	292	BETINORM XI	c0c3254feb4c4edc	3317840	-3793663	778804
293	293	ORANGIAN	c0c31490c2d11911	4907120	-4337961	458927
294	294	NEW ERA	c0c2f6b07a3d4140	3655696	-5155290	515191
295	295	THE LION	c0c2c72d7c046fd4	2811056	-4449692	768636
296	296	PUSHAN	c0c2c5e1808b6165	4769264	-4635633	434753
297	297	HAPPY	c0c2c48f9a208e5e	2273200	-4438174	952449
298	298	THETHREE	c0c2c48c5844e079	-1527472	-1334960	-4712388
299	299	SERVICES	c0c2aef30cd14289	2773200	-5281245	653143
300	300	LAKANEW	c0c297c79041f920	4669264	-4132328	493371
301	301	AZANIA	c0c294ddfdddff8a	1128560	-5066859	1663748
302	302	HLOS	c0c288cebd0ff790	2166416	-6329242	692078
303	303	SHMEE	c0c2661944fdd059	3555696	-4747547	558041
304	304	GROVER_CLEVELAND	c0c24e4a93c626d4	3755696	-4139584	602854
305	305	CAMEL	c0c24b6cb41deee8	376048	-4742863	5251818
306	306	EARTHBOUND	c0c23d86d580429c	2404272	-5033521	771698
307	307	HEPEROS	c0c2391ee70590f1	2066416	-5483581	823400
308	308	PLEXUS	c0c21dc2087350b5	2404272	-4533521	850979
309	309	POSTER	c0c1a0981132c610	735344	-5093662	2409548
310	310	PLANETLESS	c0c14caf8ca6d456	4024624	-5235637	420349
311	311	NAVRIA	c0c0eba89d2b7075	3955696	-5000472	437976
312	312	GERYON	c0c0d2cf5d42e9ab	-320688	-4765585	-5636205
313	313	ALLUTUPPURAINEN	c0c0cf669eb77836	2973200	-5544223	522128
314	314	UNKNOWN STAR / CLASS	c0c0cd6bb3ad0a6c	3924624	-4582492	478346
315	315	BETINORM IV	c0c0bcd770dce5c3	4062480	-3993425	528236
316	316	PLATTEKILL	c0c0a4912470ccf8	-4223536	-552022	-3654810
317	317	RAELC	c0c0976efcf4fd93	4807120	-3151397	560749
318	318	BELLAMY	c0c08ef5307114f3	3179984	-4995549	533680
319	319	GEMINI	c0c070b2397ba6c0	4362480	-4519787	426900
320	320	GOLDEN RIM	c0c05f63aa08b287	4093552	-4468400	458285
321	321	LITHIUM GIRL	c0c04c5a747d9979	-524624	-4225059	-3764698
322	322	FIRE FUEL	c0c0479247f57bd6	3279984	-5298535	479607
323	323	ZORN	c0bfff89a1d551d7	4055696	-5346452	377776
324	324	XNO15	c0bfd399c98c4dbd	4431408	-4938552	372296
325	325	SHELLEY	c0bfa495928a897b	4162480	-4129830	471229
326	326	THE SPOUT	c0bfa0c18a827262	2973200	-5244223	519285
327	327	GESUNDHEIT	c0bf8d2117b5df30	-1196400	-1281118	-5269768
328	328	G.O.G.	c0bf4682e8291474	2504272	-4531751	705498
329	329	DU MILDE	c0bf4580eea61d23	2535344	-5128875	615644
330	330	NOLITHIUM	c0bf119b2f8ab10b	-431408	-4367096	-4221659
331	331	XNOL XXIV	c0bf10fac2947359	4024624	-5135637	384778
332	332	ANTIOCH PRIME	c0bee6b37376c7bf	-1028560	-5036066	-1527193
333	333	ASKEW 184	c0bebf707275ca08	3438192	-1233198	1856484
334	334	CHARLANTI GAMA	c0be8882fab1ecd1	4093552	-4868400	392217
335	335	LONELY ONE	c0be839905a4cb23	1190704	-5496087	1193665
336	336	FAML	c0be81e953e44f5c	1290704	-5236991	1155414
337	337	INDUSTRIAL DISEASE	c0be50a07f597d78	4976048	-4297664	362894
338	338	BLOU-1	c0be509fb143ff84	4055696	-5246452	364725
339	339	EMPATHY	c0be3f2a93ae7a33	4769264	-4335633	374468
340	340	SOL DELL AVVENIR	c0be26ad724eaf29	2673200	-4466539	646458
341	341	X	c0be0ceb9d0f8e24	4124624	-5257711	354740
342	342	LEPTA	c0be02669953c4a1	1759632	-5074183	860417
343	343	XNO12	c0bdf32a422c5500	4362480	-4219787	416496
344	344	ASKEW 185	c0bdd800060bc52d	3224624	-1903689	1244567
345	345	CAITHRIS	c0bdca42133a6ec3	3111056	-4437153	552458
346	346	LISTA 29	c0bd970e433ec91b	3955696	-4200472	455895
347	347	JOTUN	c0bd5f008c2fd00c	-511056	-4886608	-3010816
348	348	A.A.A.	c0bcac51285610aa	4055696	-5146452	351675
349	349	LEAD ROLE	c0bcaa21ff9fd76f	4638192	-2348129	673775
350	350	WELCOME STRANGER	c0bc7d3c11b732e4	2704272	-4766066	565861
351	351	GUIDER	c0bc509525c04b7c	2773200	-3881245	673443
352	352	NULL+VOID	c0bbec759be2308e	2059632	-5308818	653770
353	353	FADE TO BLACK	c0bbbfa5eeb01bcd	4024624	-4435637	397924
354	354	EVII	c0bbb14c61e927da	2366416	-5551635	539624
355	355	AMBARION	c0bb8598ecb378e4	4462480	-4394429	359285
356	356	DEULHIA	c0bb34b03804390c	4262480	-4297307	380227
357	357	LARGE TASK	c0bb30f2971f5e92	3111056	-4037153	554224
358	358	A DRY WELL	c0bafeee603efd86	3179984	-4695549	462834
359	359	MIXING IT	c0bad10586a3123f	-3535344	3723125	521558
360	360	CIBINO	c0bac150b6b04830	5276048	-5055692	256778
361	361	LITHIUM	c0baa3fa3b4de0cb	666416	-4350207	2352489
362	362	IXEROK	c0baa14c34cdd326	-386768	-4863624	-3624113
363	363	SHINNY BLUE	c0ba9c3292a1b334	1928560	-4141780	852839
364	364	KALTRIDOR	c0ba741dceff6f6d	5038192	-4896797	274497
365	365	GEEWAMIDEK	c0ba5d3c7b60f6d3	4869264	-4907867	282422
366	366	POIPLE	c0ba2f85ef84ac0f	-4838192	-5080255	-272731
367	367	DARNIT-NO LI	c0b9e5478c584fc8	-4554608	-436663	-3333258
368	368	RADAGASTAR	c0b9a382c41510e4	2435344	-3568883	755168
369	369	FOO	c0b97502e47c1d81	276048	-4630197	5098758
370	370	SKIAD	c0b95c75df6106d9	4769264	-5192224	262183
371	371	OUJUN	c0b95a873fc9a700	4531408	-4420360	324033
372	372	LINTERIUS	c0b9596095827b5a	3617840	-4636039	386907
373	373	PLYKE	c0b9563d1b81b6c3	2735344	-5479930	432719
374	374	VISTANA	c0b95562681f67b4	-300336	-4843169	-4458602
375	375	STOVE TOP	c0b8fd578dd0649c	269264	-4991319	4759989
376	376	CANDELA	c0b8fd108826b62e	3686768	-4616273	375875
377	377	MG CORE YELLOW	c0b8f9e9448d9c44	-362480	-4325557	-4077937
378	378	KADRA TIN	c0b8f9a5bf4fd610	4969264	-4980100	258356
379	379	ELEVENSES	c0b8f64385afdfa6	3548912	-5115546	351991
